product_category,Description
GENERAL_MERCHANDISE,This category will cover most products and should be used as the default
EXEMPT,Used to denote a product as always exempt from taxes
GIFT_CARDS,Gift cards
PRODUCT_INSURANCE,Optional insurance fee added to invoice
SAAS_GENERAL,Software as a service
SOFTWARE_DOWNLOAD,General category for a one-time software purchase
SOFTWARE_B2B,Software for enterprise server or business use
SOFTWARE_B2B_LICENSE,Software license for business use
SOFTWARE_PERSONAL,Software license sold to an individual
DIGITAL_VIDEO_STREAMED,Video programming streamed over the internet
DIGITAL_VIDEO_STREAMED_LIVE,Live entertainment event streamed over the internet
DIGITAL_AUDIO_NONPERMANENT_USE_RIGHTS_DOWNLOAD,Downloaded media rights for less than permanent use
DIGITAL_AUDIO_PERMANENT_USE_RIGHTS_DOWNLOAD,Downloaded media rights for permanent use
DIGITAL_AUDIO_STREAMED,Audio programming streamed over the internet
DIGITAL_AUDIO_STREAMED_LIVE,Live audio streamed over the internet
DIGITAL_IMAGES_DOWNLOAD,Photographic images
DIGITAL_GRAPHICS_DOWNLOAD,Graphics and art
GENERAL_SAAS_NO_MS_SERVER,"General SaaS service fee, server outside the state"
GENERAL_SAAS_WITH_MS_SERVER,"General SaaS service fee, server inside the state"
SAAS_WITH_DOWNLOAD_USED,"SaaS with downloadable component, downloaded by customer"
SAAS_WITH_DOWNLOAD_UNUSED,"SaaS with downloadable component, not downloaded by customer"
SAAS_WITH_DATABASE_ACCESS,SaaS includes access to information service or database
SECURITY_SAAS_WITH_MS_SERVER,"Security SaaS service fee, server inside the state"
SECURITY_SAAS_NO_MS_SERVER,"Security SaaS service fee, server outside the state"
SECURITY_SAAS_DOWNLOADABLE_COMPONENT,Security SaaS with downloadable component
CONFERENCING_SAAS_WITH_MS_SERVER,"Conferencing & meeting SaaS service fee, server inside the state"
CONFERENCING_SAAS_NO_MS_SERVER,"Conferencing & meeting SaaS service fee, server outside the state"
CONFERENCING_SAAS_DOWNLOADABLE_COMPONENT,Conferencing SaaS with downloadable component
SEPARATE_STATED_PROGRAMMING_IMPLEMENTATION_SAAS,"SaaS implementation or set-up fees, separately stated on invoices"
BUNDLED_PROGRAMMING_IMPLEMENTATION_SAAS,"SaaS implementation or set-up fees, not separately stated on invoices"
